mating.regime,block,sex,agrawal.stock.number,DSPR.stock.number,replicate,total.wt,total.flies,scorer.name
vial,3,f,56,11079,2,27,104,nina
vial,3,f,56,11079,3,31,107,nina
vial,3,f,56,11079,4,40,100,nina
vial,3,f,56,11079,5,41,108,nina
vial,3,f,143,11241,1,29,69,nina
vial,3,f,143,11241,2,23,103,nina
vial,3,f,143,11241,3,21,110,nina
vial,3,f,143,11241,4,44,114,nina
vial,3,f,143,11241,5,45,89,nina
vial,3,f,124,11209,4,54,103,nina
vial,3,f,124,11209,5,21,107,nina
vial,3,f,126,11214,1,18,101,nina
vial,3,f,126,11214,2,36,104,nina
vial,3,f,126,11214,3,49,107,nina
vial,3,f,126,11214,4,22,111,nina
vial,3,f,126,11214,5,47,103,nina
vial,3,f,137,11234,1,42,101,nina
vial,3,f,137,11234,2,38,100,nina
vial,3,f,137,11234,3,36,100,nina
vial,3,f,137,11234,4,39,100,nina
vial,3,f,137,11234,5,50,128,nina
vial,3,f,138,11236,1,30,98,nina
vial,3,f,138,11236,2,46,102,nina
vial,3,f,138,11236,3,39,106,nina
vial,3,f,138,11236,4,48,111,nina
vial,3,f,138,11236,5,52,116,nina
vial,3,f,148,11257,1,34,108,nina
vial,3,f,148,11257,2,32,104,nina
vial,3,f,148,11257,3,37,110,nina
vial,3,f,148,11257,4,47,106,nina
vial,3,f,148,11257,5,41,113,nina
vial,3,f,149,11258,1,35,104,nina
vial,3,f,149,11258,2,30,106,nina
vial,3,f,149,11258,3,59,119,nina
vial,3,f,149,11258,4,40,118,nina
vial,3,f,139,11237,1,33,105,elenore
vial,3,f,139,11237,2,33,114,elenore
vial,3,f,139,11237,3,20,115,elenore
vial,3,f,139,11237,4,30,121,elenore
vial,3,f,139,11237,5,31,106,elenore
vial,3,f,140,11238,1,42,112,amardeep
vial,3,f,140,11238,2,35,109,amardeep
vial,3,f,140,11238,3,45,132,amardeep
vial,3,f,140,11238,4,37,111,amardeep
vial,3,f,140,11238,5,64,130,amardeep
vial,3,f,51,11074,1,18,106,amardeep
vial,3,f,51,11074,2,38,121,amardeep
vial,3,f,51,11074,3,15,117,amardeep
vial,3,f,51,11074,4,39,128,amardeep
vial,3,f,51,11074,5,47,139,amardeep
vial,3,f,112,11159,3,37,112,amardeep
vial,3,f,112,11159,4,51,165,amardeep
vial,3,f,112,11159,5,63,143,amardeep
vial,3,f,113,11163,1,41,110,amardeep
vial,3,f,113,11163,2,49,120,amardeep
vial,3,f,113,11163,3,41,110,amardeep
vial,3,f,113,11163,4,15,113,amardeep
vial,3,f,113,11163,5,37,168,amardeep
vial,3,f,114,11164,1,60,99,amardeep
vial,3,f,114,11164,2,34,90,amardeep
vial,3,f,114,11164,3,44,100,amardeep
vial,3,f,114,11164,4,40,102,amardeep
vial,3,f,114,11164,5,61,106,amardeep
vial,3,f,115,11166,1,66,109,amardeep
vial,3,f,115,11166,2,52,105,amardeep
vial,3,f,115,11166,3,41,100,amardeep
vial,3,f,115,11166,4,8,108,amardeep
vial,3,f,115,11166,5,22,111,amardeep
vial,3,f,118,11179,1,31,101,amardeep
vial,3,f,118,11179,2,47,99,amardeep
vial,3,f,118,11179,3,51,112,amardeep
vial,3,f,118,11179,4,58,105,amardeep
vial,3,f,118,11179,5,50,117,amardeep
vial,3,f,119,11181,1,37,114,amardeep
vial,3,f,119,11181,2,47,100,amardeep
vial,3,f,119,11181,3,18,106,amardeep
vial,3,f,119,11181,4,55,118,amardeep
vial,3,f,119,11181,5,21,122,amardeep
vial,3,f,120,11184,1,42,130,amardeep
vial,3,f,120,11184,2,60,117,amardeep
vial,3,f,120,11184,3,51,103,amardeep
vial,3,f,120,11184,4,56,101,amardeep
vial,3,f,120,11184,5,46,106,amardeep
vial,3,f,121,11200,1,44,112,amardeep
vial,3,f,121,11200,2,36,111,amardeep
vial,3,f,121,11200,3,38,108,amardeep
vial,3,f,121,11200,4,55,107,amardeep
vial,3,f,121,11200,5,57,105,amardeep
vial,3,f,124,11209,1,15,100,amardeep
vial,3,f,124,11209,2,15,102,amardeep
vial,3,f,124,11209,3,42,116,amardeep
vial,3,f,101,11142,1,34,154,amardeep
vial,3,f,101,11142,2,29,108,amardeep
vial,3,f,101,11142,3,43,109,amardeep
vial,3,f,101,11142,4,21,107,amardeep
vial,3,f,101,11142,5,34,103,amardeep
vial,3,f,102,11143,1,31,127,amardeep
vial,3,f,102,11143,2,33,120,amardeep
vial,3,f,102,11143,3,28,107,amardeep
vial,3,f,102,11143,4,37,108,amardeep
vial,3,f,102,11143,5,28,106,amardeep
vial,3,f,103,11145,1,48,135,amardeep
vial,3,f,103,11145,2,41,125,amardeep
vial,3,f,103,11145,3,37,128,amardeep
vial,3,f,104,11146,1,38,102,amardeep
vial,3,f,104,11146,1,36,100,amardeep
vial,3,f,104,11146,3,31,82,amardeep
vial,3,f,104,11146,4,38,112,amardeep
vial,3,f,104,11146,5,40,121,amardeep
vial,3,f,105,11147,1,42,114,amardeep
vial,3,f,105,11147,2,41,106,amardeep
vial,3,f,105,11147,3,39,113,amardeep
vial,3,f,105,11147,4,49,111,amardeep
vial,3,f,105,11147,5,47,125,amardeep
vial,3,f,106,11149,1,33,129,amardeep
vial,3,f,106,11149,2,27,100,amardeep
vial,3,f,106,11149,3,34,107,amardeep
vial,3,f,106,11149,4,38,107,amardeep
vial,3,f,106,11149,5,47,119,amardeep
vial,3,f,107,11151,1,44,119,amardeep
vial,3,f,107,11151,2,43,103,amardeep
vial,3,f,107,11151,3,44,108,amardeep
vial,3,f,107,11151,4,28,108,amardeep
vial,3,f,107,11151,5,28,114,amardeep
vial,3,f,109,11155,1,33,105,amardeep
vial,3,f,109,11155,2,26,108,amardeep
vial,3,f,109,11155,3,45,112,amardeep
